"Fecha","CO (mg/m3)","NO (ug/m3)","NO2 (ug/m3)","O3 (ug/m3)","PM10 (ug/m3)","PM25 (ug/m3)","SO2 (ug/m3)","Provincia","Estación"
"06/2020","0,2","4","11","","9","","","Valladolid","Renault2"
"06/2020","","3","10","","6","","","Valladolid","Renault3"
"06/2020","","","","62","","","","Valladolid","VALLADOLID SUR"
"06/2020","","4","7","66","23","","","Valladolid","Vega Sicilia"
"06/2020","","3","8","64","10","","1","Zamora","Zamora 2"
"07/2020","","2","5","89","26","","2","Avila","Avila II"
"07/2020","0,6","2","10","69","24","","3","Burgos","Aranda de Duero 2"
"07/2020","0,3","5","7","","19","","1","Burgos","Burgos1"
"07/2020","","3","5","71","16","7","4","Burgos","Burgos4"
"07/2020","","2","3","65","15","","3","Burgos","Medina de Pomar"
"07/2020","","3","10","62","18","","3","Burgos","Miranda de Ebro2"
"07/2020","","1","10","","15","","1","León","C.T.Compostilla-Compostilla"
"07/2020","","2","8","61","","","3","León","C.T.Compostilla-Congosto"
"07/2020","","1","3","62","16","","1","León","C.T.Compostilla-Cortiguera"
"07/2020","","3","3","","13","","1","León","C.T.Compostilla-Santa Marina"
"07/2020","","1","9","","14","","1","León","C.T.Compostilla-Villaverde"
"07/2020","","2","12","64","13","","5","León","C.T.L.R. - Cuadros"
"07/2020","","1","4","","10","","3","León","C.T.L.R. - Naredo"
"07/2020","","1","2","56","12","","4","León","C.T.L.R. - Ventosilla"
"07/2020","","2","6","57","18","","1","León","Carracedelo"
"07/2020","","1","4","74","16","","5","León","La Robla"
"07/2020","","2","4","53","24","","2","León","Lario"
"07/2020","","1","8","66","14","","2","León","Leon 4"
"07/2020","0,3","6","15","","18","","15","León","Leon1"
"07/2020","","","","","14","","1","León","Otero"
"07/2020","","1","7","63","24","","1","León","Ponferrada4"
"07/2020","","","","","24","","","León","Toral de los Vados"
"07/2020","","2","4","","3","","6","León","Tudela Veguin-Tudela Veguin"
"07/2020","","2","4","66","21","","3","León","Valderas"
"07/2020","","2","1","52","","","2","Palencia","C.T.G. - Compuerto"
"07/2020","","2","1","57","8","4","3","Palencia","C.T.G. - Villalba"
"07/2020","","2","5","63","13","","3","Palencia","Guardo"
"07/2020","","1","4","72","27","","2","Palencia","Hontoria 1 - Poblado"
"07/2020","","9","5","70","29","","4","Palencia","Hontoria 2 - Venta de Baños"
"07/2020","","3","7","70","14","","2","Palencia","Palencia 3"
"07/2020","","2","5","66","21","","","Palencia","Renault4"
"07/2020","","2","4","97","","","2","Salamanca","El Maillo"
"07/2020","","2","10","","21","","3","Salamanca","Salamanca5"
"07/2020","","3","8","69","20","6","","Salamanca","Salamanca6"
"07/2020","0,2","3","11","83","24","","3","Segovia","Segovia 2"
"07/2020","","3","9","68","","","2","Soria","Muriel de la Fuente"
"07/2020","","6","12","71","23","","2","Soria","Soria"
"07/2020","0,5","8","24","","18","11","","Valladolid","Arco de ladrillo II"
"07/2020","","5","13","","23","12","7","Valladolid","La rubia II"
"07/2020","","2","7","75","32","","9","Valladolid","Medina del Campo"
"07/2020","","1","12","63","","","","Valladolid","Michelin1"
"07/2020","","1","7","65","","","","Valladolid","Michelin2"
"07/2020","","2","10","67","25","9","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"07/2020","","2","9","72","","","","Valladolid","Renault1"
"07/2020","0,1","3","11","","23","","","Valladolid","Renault2"
"07/2020","","3","11","","6","","","Valladolid","Renault3"
"07/2020","","","","71","","","","Valladolid","VALLADOLID SUR"
"07/2020","","4","8","68","","","","Valladolid","Vega Sicilia"
"07/2020","","5","10","71","15","","2","Zamora","Zamora 2"
"08/2020","","3","6","71","18","","2","Avila","Avila II"
"08/2020","0,7","2","10","62","21","","4","Burgos","Aranda de Duero 2"
"08/2020","0,4","5","9","","14","","1","Burgos","Burgos1"
"08/2020","","3","5","65","12","5","4","Burgos","Burgos4"
"08/2020","","1","3","60","12","","2","Burgos","Medina de Pomar"
"08/2020","","5","8","53","14","","4","Burgos","Miranda de Ebro2"
"08/2020","","2","14","52","11","","5","León","C.T.L.R. - Cuadros"
"08/2020","","1","4","","9","","3","León","C.T.L.R. - Naredo"
"08/2020","","2","3","53","9","","4","León","C.T.L.R. - Ventosilla"
"08/2020","","2","6","46","13","","1","León","Carracedelo"
"08/2020","","1","4","62","15","","2","León","La Robla"
"08/2020","","2","4","53","22","","3","León","Lario"
"08/2020","","2","9","55","11","","2","León","Leon 4"
"08/2020","0,3","6","15","","15","","5","León","Leon1"
"08/2020","","","","","13","","1","León","Otero"
"08/2020","","2","7","53","18","","1","León","Ponferrada4"
"08/2020","","","","","19","","","León","Toral de los Vados"
"08/2020","","1","4","","4","","7","León","Tudela Veguin-Tudela Veguin"
"08/2020","","2","4","64","13","","4","León","Valderas"
"08/2020","","2","2","46","8","5","2","Palencia","C.T.G. - Compuerto"
"08/2020","","2","2","52","5","3","2","Palencia","C.T.G. - Villalba"
"08/2020","","2","6","58","11","","2","Palencia","Guardo"
"08/2020","","2","5","63","23","","6","Palencia","Hontoria 1 - Poblado"
"08/2020","","8","4","63","20","","6","Palencia","Hontoria 2 - Venta de Baños"
"08/2020","","4","8","61","14","","3","Palencia","Palencia 3"
"08/2020","","2","4","57","16","","","Palencia","Renault4"
"08/2020","","2","5","81","","","2","Salamanca","El Maillo"
"08/2020","","2","8","","15","","4","Salamanca","Salamanca5"
"08/2020","","2","5","59","11","4","","Salamanca","Salamanca6"
"08/2020","0,3","3","11","76","15","","3","Segovia","Segovia 2"
"08/2020","","3","7","61","","","2","Soria","Muriel de la Fuente"
"08/2020","","8","13","67","16","","2","Soria","Soria"
"08/2020","0,4","7","20","","15","9","","Valladolid","Arco de ladrillo II"
"08/2020","","6","18","","19","10","5","Valladolid","La rubia II"
"08/2020","","2","8","62","27","","7","Valladolid","Medina del Campo"
"08/2020","","1","12","57","","","","Valladolid","Michelin1"
"08/2020","","1","8","57","","","","Valladolid","Michelin2"
"08/2020","","3","12","57","18","7","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"08/2020","","2","10","65","","","","Valladolid","Renault1"
"08/2020","0,1","5","11","","11","","","Valladolid","Renault2"
"08/2020","","3","10","","4","","","Valladolid","Renault3"
"08/2020","","2","11","58","","","","Valladolid","VALLADOLID SUR"
"08/2020","","","","60","","","","Valladolid","Vega Sicilia"
"08/2020","","5","10","63","11","","2","Zamora","Zamora 2"
"09/2020","","3","6","71","18","","2","Avila","Avila II"
"09/2020","0,6","2","12","60","20","","3","Burgos","Aranda de Duero 2"
"09/2020","0,2","7","13","","15","","1","Burgos","Burgos1"
"09/2020","","4","7","67","12","6","5","Burgos","Burgos4"
"09/2020","","2","3","66","12","","3","Burgos","Medina de Pomar"
"09/2020","","5","11","55","16","","2","Burgos","Miranda de Ebro2"
"09/2020","","2","12","56","11","","3","León","C.T.L.R. - Cuadros"
"09/2020","","1","4","","8","","5","León","C.T.L.R. - Naredo"
"09/2020","","2","3","54","8","","5","León","C.T.L.R. - Ventosilla"
"09/2020","","2","8","45","14","","1","León","Carracedelo"
"09/2020","","1","5","62","14","","2","León","La Robla"
"09/2020","","2","4","53","21","","2","León","Lario"
"09/2020","","2","10","60","11","","2","León","Leon 4"
"09/2020","0,2","8","20","","17","","3","León","Leon1"
"09/2020","","","","","15","","1","León","Otero"
"09/2020","","2","7","59","19","","1","León","Ponferrada4"
"09/2020","","","","","23","","","León","Toral de los Vados"
"09/2020","","2","4","","5","","6","León","Tudela Veguin-Tudela Veguin"
"09/2020","","2","4","68","16","","4","León","Valderas"
"09/2020","","2","2","48","7","5","3","Palencia","C.T.G. - Compuerto"
"09/2020","","2","1","51","5","3","2","Palencia","C.T.G. - Villalba"
"09/2020","","3","6","60","10","","4","Palencia","Guardo"
"09/2020","","2","5","66","21","","7","Palencia","Hontoria 1 - Poblado"
"09/2020","","8","4","64","20","","5","Palencia","Hontoria 2 - Venta de Baños"
"09/2020","","4","10","63","19","","2","Palencia","Palencia 3"
"09/2020","","4","7","57","17","","","Palencia","Renault4"
"09/2020","","1","1","89","","","2","Salamanca","El Maillo"
"09/2020","","4","13","","14","","3","Salamanca","Salamanca5"
"09/2020","","2","4","61","13","4","","Salamanca","Salamanca6"
"09/2020","0,3","3","11","77","13","","3","Segovia","Segovia 2"
"09/2020","","3","5","63","","","2","Soria","Muriel de la Fuente"
"09/2020","","8","15","66","16","","2","Soria","Soria"
"09/2020","0,6","9","27","","18","10","","Valladolid","Arco de ladrillo II"
"09/2020","","9","23","","21","11","6","Valladolid","La rubia II"
"09/2020","","2","8","65","25","","8","Valladolid","Medina del Campo"
"09/2020","","2","15","55","","","","Valladolid","Michelin1"
"09/2020","","2","13","57","","","","Valladolid","Michelin2"
"09/2020","","","","54","21","8","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"09/2020","","2","8","61","","","","Valladolid","Renault1"
"09/2020","0,2","9","17","","15","","","Valladolid","Renault2"
"09/2020","","4","10","","10","","","Valladolid","Renault3"
"09/2020","","3","14","54","","","","Valladolid","VALLADOLID SUR"
"09/2020","","","","56","29","","","Valladolid","Vega Sicilia"
"09/2020","","6","12","61","13","","2","Zamora","Zamora 2"
"10/2020","","4","7","56","14","","2","Avila","Avila II"
"10/2020","0,5","6","10","49","15","","3","Burgos","Aranda de Duero 2"
"10/2020","0,2","10","15","","11","","1","Burgos","Burgos1"
"10/2020","","4","5","54","8","4","4","Burgos","Burgos4"
"10/2020","","3","2","55","9","","2","Burgos","Medina de Pomar"
"10/2020","","3","13","43","13","","2","Burgos","Miranda de Ebro2"
"10/2020","","2","10","45","7","","4","León","C.T.L.R. - Cuadros"
"10/2020","","2","4","","6","","4","León","C.T.L.R. - Naredo"
"10/2020","","2","3","51","7","","5","León","C.T.L.R. - Ventosilla"
"10/2020","","2","8","29","12","","1","León","Carracedelo"
"10/2020","","4","6","51","12","","8","León","La Robla"
"10/2020","","1","2","60","14","","1","León","Lario"
"10/2020","","2","10","47","9","","2","León","Leon 4"
"10/2020","0,4","10","18","","13","","5","León","Leon1"
"10/2020","","","","","11","","2","León","Otero"
"10/2020","","2","9","44","14","","1","León","Ponferrada4"
"10/2020","","","","","15","","","León","Toral de los Vados"
"10/2020","","1","4","","6","","6","León","Tudela Veguin-Tudela Veguin"
"10/2020","","2","4","57","15","","5","León","Valderas"
"10/2020","","2","1","40","5","3","6","Palencia","C.T.G. - Compuerto"
"10/2020","","2","1","48","5","3","5","Palencia","C.T.G. - Villalba"
"10/2020","","3","7","54","9","","7","Palencia","Guardo"
"10/2020","","2","6","50","19","","4","Palencia","Hontoria 1 - Poblado"
"10/2020","","8","5","50","16","","2","Palencia","Hontoria 2 - Venta de Baños"
"10/2020","","5","9","48","15","","3","Palencia","Palencia 3"
"10/2020","","6","10","43","15","","","Palencia","Renault4"
"10/2020","","1","1","73","","","2","Salamanca","El Maillo"
"10/2020","","8","10","","11","","3","Salamanca","Salamanca5"
"10/2020","","3","9","49","12","5","","Salamanca","Salamanca6"
"10/2020","0,3","3","11","56","9","","3","Segovia","Segovia 2"
"10/2020","","4","5","48","","","2","Soria","Muriel de la Fuente"
"10/2020","","13","17","55","9","","2","Soria","Soria"
"10/2020","0,6","14","26","","14","10","","Valladolid","Arco de ladrillo II"
"10/2020","","16","24","","18","10","5","Valladolid","La rubia II"
"10/2020","","3","7","48","34","","7","Valladolid","Medina del Campo"
"10/2020","","4","18","38","","","","Valladolid","Michelin1"
"10/2020","","3","15","42","","","","Valladolid","Michelin2"
"10/2020","","9","20","38","19","7","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"10/2020","","3","6","47","","","","Valladolid","Renault1"
"10/2020","0,2","15","19","","9","","","Valladolid","Renault2"
"10/2020","","6","9","","8","","","Valladolid","Renault3"
"10/2020","","6","16","39","","","","Valladolid","VALLADOLID SUR"
"10/2020","","","","43","","","","Valladolid","Vega Sicilia"
"10/2020","","9","13","49","10","","2","Zamora","Zamora 2"
"11/2020","","4","8","42","16","","3","Avila","Avila II"
"11/2020","0,5","9","12","33","12","","4","Burgos","Aranda de Duero 2"
"11/2020","0,4","14","21","","14","","1","Burgos","Burgos1"
"11/2020","","6","11","43","11","6","4","Burgos","Burgos4"
"11/2020","","1","7","47","14","","2","Burgos","Medina de Pomar"
"11/2020","","5","19","32","19","","2","Burgos","Miranda de Ebro2"
"11/2020","","4","21","34","15","","5","León","C.T.L.R. - Cuadros"
"11/2020","","2","5","","11","","5","León","C.T.L.R. - Naredo"
"11/2020","","2","4","44","11","","6","León","C.T.L.R. - Ventosilla"
"11/2020","","5","10","18","","","1","León","Carracedelo"
"11/2020","","3","8","38","19","","10","León","La Robla"
"11/2020","","2","2","51","16","","2","León","Lario"
"11/2020","","5","14","32","15","","2","León","Leon 4"
"11/2020","0,3","18","27","","21","","11","León","Leon1"
"11/2020","","","","","14","","3","León","Otero"
"11/2020","","4","13","28","20","","3","León","Ponferrada4"
"11/2020","","","","","24","","","León","Toral de los Vados"
"11/2020","","2","7","","12","","4","León","Tudela Veguin-Tudela Veguin"
"11/2020","","2","6","44","12","","5","León","Valderas"
"11/2020","","2","1","35","7","5","5","Palencia","C.T.G. - Compuerto"
"11/2020","","2","1","43","6","5","6","Palencia","C.T.G. - Villalba"
"11/2020","","4","9","45","12","","15","Palencia","Guardo"
"11/2020","","3","8","36","19","","2","Palencia","Hontoria 1 - Poblado"
"11/2020","","6","8","37","14","","2","Palencia","Hontoria 2 - Venta de Baños"
"11/2020","","10","12","33","13","","4","Palencia","Palencia 3"
"11/2020","","9","14","31","16","","","Palencia","Renault4"
"11/2020","","1","1","68","","","2","Salamanca","El Maillo"
"11/2020","","12","21","","12","","4","Salamanca","Salamanca5"
"11/2020","","3","10","38","13","6","","Salamanca","Salamanca6"
"11/2020","0,3","4","13","44","15","","3","Segovia","Segovia 2"
"11/2020","","4","4","42","","","2","Soria","Muriel de la Fuente"
"11/2020","","17","24","41","13","","2","Soria","Soria"
"11/2020","0,6","25","34","","18","","","Valladolid","Arco de ladrillo II"
"11/2020","","24","29","","","13","5","Valladolid","La rubia II"
"11/2020","","4","8","32","23","","9","Valladolid","Medina del Campo"
"11/2020","","10","21","23","","","","Valladolid","Michelin1"
"11/2020","","5","18","28","","","","Valladolid","Michelin2"
"11/2020","","17","30","24","22","10","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"11/2020","","10","17","29","","","","Valladolid","Renault1"
"11/2020","0,2","25","21","","15","","","Valladolid","Renault2"
"11/2020","","15","15","","15","","","Valladolid","Renault3"
"11/2020","","11","20","23","","","","Valladolid","VALLADOLID SUR"
"11/2020","","","","26","","","","Valladolid","Vega Sicilia"
"11/2020","","11","15","31","12","","3","Zamora","Zamora 2"
"12/2020","","3","5","56","6","","2","Avila","Avila II"
"12/2020","0,5","6","9","49","6","","3","Burgos","Aranda de Duero 2"
"12/2020","0,5","8","13","","6","","1","Burgos","Burgos1"
"12/2020","","2","5","53","4","3","5","Burgos","Burgos4"
"12/2020","","1","9","59","8","","3","Burgos","Medina de Pomar"
"12/2020","","3","15","44","9","","2","Burgos","Miranda de Ebro2"
"12/2020","","6","20","45","6","","7","León","C.T.L.R. - Cuadros"
"12/2020","","2","4","","6","","4","León","C.T.L.R. - Naredo"
"12/2020","","2","3","58","6","","6","León","C.T.L.R. - Ventosilla"
"12/2020","","4","7","27","10","","2","León","Carracedelo"
"12/2020","","2","7","48","14","","13","León","La Robla"
"12/2020","","2","2","66","12","","1","León","Lario"
"12/2020","","3","13","42","6","","1","León","Leon 4"
"12/2020","0,4","13","25","","12","","12","León","Leon1"
"12/2020","","","","","9","","4","León","Otero"
"12/2020","","4","13","40","15","","3","León","Ponferrada4"
"12/2020","","","","","13","","","León","Toral de los Vados"
"12/2020","","2","4","","9","","2","León","Tudela Veguin-Tudela Veguin"
"12/2020","","2","4","56","7","","6","León","Valderas"
"12/2020","","2","2","45","3","2","4","Palencia","C.T.G. - Compuerto"
"12/2020","","2","1","52","3","2","8","Palencia","C.T.G. - Villalba"
"12/2020","","4","8","54","7","","12","Palencia","Guardo"
"12/2020","","3","10","45","10","","4","Palencia","Hontoria 1 - Poblado"
"12/2020","","6","5","49","6","","5","Palencia","Hontoria 2 - Venta de Baños"
"12/2020","","4","6","53","4","","3","Palencia","Palencia 3"
"12/2020","","6","11","49","7","","","Palencia","Renault4"
"12/2020","","1","1","72","","","2","Salamanca","El Maillo"
"12/2020","","8","18","","6","","4","Salamanca","Salamanca5"
"12/2020","","4","8","51","10","4","","Salamanca","Salamanca6"
"12/2020","0,3","3","11","53","8","","3","Segovia","Segovia 2"
"12/2020","","4","3","49","","","3","Soria","Muriel de la Fuente"
"12/2020","","14","17","51","7","","2","Soria","Soria"
"12/2020","0,8","14","28","","10","8","","Valladolid","Arco de ladrillo II"
"12/2020","","14","25","","8","7","8","Valladolid","La rubia II"
"12/2020","","2","5","45","9","","10","Valladolid","Medina del Campo"
"12/2020","","4","21","35","","","","Valladolid","Michelin1"
"12/2020","","3","15","40","","","","Valladolid","Michelin2"
"12/2020","","9","24","37","12","","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"12/2020","","5","10","42","","","","Valladolid","Renault1"
"12/2020","0,3","18","24","","2","","","Valladolid","Renault2"
"12/2020","","6","18","","","","","Valladolid","Renault3"
"12/2020","","6","16","35","","","","Valladolid","VALLADOLID SUR"
"12/2020","","7","18","40","8","","","Valladolid","Vega Sicilia"
"12/2020","","10","12","49","8","","3","Zamora","Zamora 2"
"01/2021","","4","13","53","10","","2","Avila","Avila II"
"01/2021","","4","15","47","9","","4","Burgos","Aranda de Duero 2"
"01/2021","0,6","11","19","","9","","1","Burgos","Burgos1"
"01/2021","","6","11","48","7","5","5","Burgos","Burgos4"
"01/2021","","1","3","54","","","3","Burgos","Medina de Pomar"
"01/2021","","5","18","41","11","","2","Burgos","Miranda de Ebro2"
"01/2021","","13","11","33","17","","5","León","Carracedelo"
"01/2021","","","","","13","9","","León","Cubillos del Sil-FESE"
"01/2021","","3","8","50","17","","20","León","La Robla"
"01/2021","","2","3","70","","","1","León","Lario"
"01/2021","","7","17","38","12","","1","León","Leon 4"
"01/2021","0,6","22","29","","21","","14","León","Leon1"
"01/2021","","","","","12","","5","León","Otero"
"01/2021","","5","15","35","19","","5","León","Ponferrada4"
"01/2021","","","","","22","","","León","Toral de los Vados"
"01/2021","","2","6","","13","","3","León","Tudela Veguin-Tudela Veguin"
"01/2021","","2","5","52","11","","6","León","Valderas"
"01/2021","","2","1","54","2","2","3","Palencia","C.T.G. - Compuerto"
"01/2021","","2","1","54","4","4","2","Palencia","C.T.G. - Villalba"
"01/2021","","5","10","55","8","","16","Palencia","Guardo"
"01/2021","","4","11","42","12","","5","Palencia","Hontoria 1 - Poblado"
"01/2021","","6","6","46","7","","2","Palencia","Hontoria 2 - Venta de Baños"
"01/2021","","6","8","48","6","","2","Palencia","Palencia 3"
"01/2021","","6","15","47","8","","","Palencia","Renault4"
"01/2021","","1","2","74","","","2","Salamanca","El Maillo"
"01/2021","","9","22","","9","","6","Salamanca","Salamanca5"
"01/2021","","6","9","51","13","7","","Salamanca","Salamanca6"
"01/2021","","4","14","53","10","","4","Segovia","Segovia 2"
"01/2021","","4","3","52","","","3","Soria","Muriel de la Fuente"
"01/2021","","17","31","51","8","","2","Soria","Soria"
"01/2021","0,7","18","31","","14","13","","Valladolid","Arco de ladrillo II"
"01/2021","","20","28","","13","10","5","Valladolid","La rubia II"
"01/2021","","2","6","46","14","","14","Valladolid","Medina del Campo"
"01/2021","","6","23","32","","","","Valladolid","Michelin1"
"01/2021","","4","16","38","","","","Valladolid","Michelin2"
"01/2021","","10","26","35","17","11","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"01/2021","","9","19","40","","","","Valladolid","Renault1"
"01/2021","0,4","21","37","","20","","","Valladolid","Renault2"
"01/2021","","11","29","","8","","","Valladolid","Renault3"
"01/2021","","7","19","","","","","Valladolid","VALLADOLID SUR"
"01/2021","","11","22","37","13","","","Valladolid","Vega Sicilia"
"01/2021","","10","13","44","11","","2","Zamora","Zamora 2"
"02/2021","","2","5","56","23","","2","Avila","Avila II"
"02/2021","","2","9","53","20","","3","Burgos","Aranda de Duero 2"
"02/2021","0,5","8","13","","20","","1","Burgos","Burgos1"
"02/2021","","3","6","59","20","6","5","Burgos","Burgos4"
"02/2021","","1","3","62","","","2","Burgos","Medina de Pomar"
"02/2021","","4","14","48","23","","2","Burgos","Miranda de Ebro2"
"02/2021","","2","8","43","17","","3","León","Carracedelo"
"02/2021","","","","","12","5","","León","Cubillos del Sil-FESE"
"02/2021","","4","6","54","25","","12","León","La Robla"
"02/2021","","1","2","67","","","1","León","Lario"
"02/2021","","4","12","47","16","","1","León","Leon 4"
"02/2021","0,4","11","23","","23","","12","León","Leon1"
"02/2021","","","","","15","","3","León","Otero"
"02/2021","","2","9","46","18","","2","León","Ponferrada4"
"02/2021","","","","","19","","","León","Toral de los Vados"
"02/2021","","2","4","","6","","3","León","Tudela Veguin-Tudela Veguin"
"02/2021","","2","4","62","20","","4","León","Valderas"
"02/2021","","2","2","48","10","6","2","Palencia","C.T.G. - Compuerto"
"02/2021","","2","1","55","10","6","3","Palencia","C.T.G. - Villalba"
"02/2021","","4","9","53","17","","17","Palencia","Guardo"
"02/2021","","3","8","50","26","","6","Palencia","Hontoria 1 - Poblado"
"02/2021","","6","4","55","17","","2","Palencia","Hontoria 2 - Venta de Baños"
"02/2021","0,3","4","6","59","15","","2","Palencia","Palencia 3"
"02/2021","","5","11","58","18","","","Palencia","Renault4"
"02/2021","","1","3","80","","","2","Salamanca","El Maillo"
"02/2021","","5","14","","22","","6","Salamanca","Salamanca5"
"02/2021","","6","6","58","17","8","","Salamanca","Salamanca6"
"02/2021","","2","9","62","24","","3","Segovia","Segovia 2"
"02/2021","","6","5","55","","","3","Soria","Muriel de la Fuente"
"02/2021","","11","17","53","22","","2","Soria","Soria"
"02/2021","0,4","12","28","","21","13","","Valladolid","Arco de ladrillo II"
"02/2021","","13","25","","21","9","5","Valladolid","La rubia II"
"02/2021","","2","4","58","23","","8","Valladolid","Medina del Campo"
"02/2021","","3","20","42","","","","Valladolid","Michelin1"
"02/2021","","2","14","45","","","","Valladolid","Michelin2"
"02/2021","","5","21","46","28","10","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"02/2021","","5","13","53","","","","Valladolid","Renault1"
"02/2021","0,3","14","31","","31","","","Valladolid","Renault2"
"02/2021","","8","29","","19","","","Valladolid","Renault3"
"02/2021","","5","17","45","","","","Valladolid","VALLADOLID SUR"
"02/2021","","6","18","47","19","","","Valladolid","Vega Sicilia"
"02/2021","","8","12","52","19","","2","Zamora","Zamora 2"
"03/2021","","2","7","65","25","","2","Avila","Avila II"
"03/2021","","3","10","57","22","","4","Burgos","Aranda de Duero 2"
"03/2021","0,5","7","13","","21","","1","Burgos","Burgos1"
"03/2021","","4","9","63","17","7","4","Burgos","Burgos4"
"03/2021","","1","5","68","","","3","Burgos","Medina de Pomar"
"03/2021","","4","17","56","24","","2","Burgos","Miranda de Ebro2"
"03/2021","","2","8","51","25","","3","León","Carracedelo"
"03/2021","","","","","19","7","","León","Cubillos del Sil-FESE"
"03/2021","","4","4","62","24","","17","León","La Robla"
"03/2021","","1","2","65","","","1","León","Lario"
"03/2021","","4","12","54","20","","2","León","Leon 4"
"03/2021","0,6","11","22","","25","","13","León","Leon1"
"03/2021","","","","","21","","2","León","Otero"
"03/2021","","3","10","51","25","","2","León","Ponferrada4"
"03/2021","","","","","31","","","León","Toral de los Vados"
"03/2021","","2","4","","12","","2","León","Tudela Veguin-Tudela Veguin"
"03/2021","","2","5","65","25","","4","León","Valderas"
"03/2021","","2","1","56","12","7","3","Palencia","C.T.G. - Compuerto"
"03/2021","","2","1","60","11","7","3","Palencia","C.T.G. - Villalba"
"03/2021","","2","8","60","17","","18","Palencia","Guardo"
"03/2021","","3","9","64","29","","5","Palencia","Hontoria 1 - Poblado"
"03/2021","","7","6","59","26","","3","Palencia","Hontoria 2 - Venta de Baños"
"03/2021","0,5","4","6","66","15","","2","Palencia","Palencia 3"
"03/2021","","4","12","63","18","","","Palencia","Renault4"
"03/2021","","3","1","79","36","","2","Salamanca","El Maillo"
"03/2021","","6","15","","26","","5","Salamanca","Salamanca5"
"03/2021","","1","8","59","21","10","","Salamanca","Salamanca6"
"03/2021","","2","9","67","27","","3","Segovia","Segovia 2"
"03/2021","","5","6","65","22","","2","Soria","Muriel de la Fuente"
"03/2021","","8","15","64","23","","2","Soria","Soria"
"03/2021","0,4","11","28","","25","16","","Valladolid","Arco de ladrillo II"
"03/2021","","10","24","","25","13","5","Valladolid","La rubia II"
"03/2021","","2","5","65","29","","10","Valladolid","Medina del Campo"
"03/2021","","2","19","48","","","","Valladolid","Michelin1"
"03/2021","","3","15","53","","","","Valladolid","Michelin2"
"03/2021","","4","19","50","30","14","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"03/2021","","4","17","50","","","","Valladolid","Renault1"
"03/2021","0,2","14","28","","41","","","Valladolid","Renault2"
"03/2021","","7","28","","26","","","Valladolid","Renault3"
"03/2021","","5","18","53","","","","Valladolid","VALLADOLID SUR"
"03/2021","","6","22","51","24","","","Valladolid","Vega Sicilia"
"03/2021","","7","12","56","22","","2","Zamora","Zamora 2"
"04/2021","","3","6","68","8","","3","Avila","Avila II"
"04/2021","","3","9","64","11","","3","Burgos","Aranda de Duero 2"
"04/2021","0,2","3","14","","15","","1","Burgos","Burgos1"
"04/2021","","2","9","69","14","7","3","Burgos","Burgos4"
"04/2021","","1","5","73","","","3","Burgos","Medina de Pomar"
"04/2021","","3","14","66","16","","2","Burgos","Miranda de Ebro2"
"04/2021","","2","6","62","16","","2","León","Carracedelo"
"04/2021","","","","","12","5","","León","Cubillos del Sil-FESE"
"04/2021","","2","4","70","18","","15","León","La Robla"
"04/2021","","1","3","73","","","1","León","Lario"
"04/2021","","3","10","66","13","","1","León","Leon 4"
"04/2021","0,4","7","18","","13","","13","León","Leon1"
"04/2021","","","","","15","","2","León","Otero"
"04/2021","","3","8","56","19","","1","León","Ponferrada4"
"04/2021","","","","","21","","","León","Toral de los Vados"
"04/2021","","2","3","","15","","6","León","Tudela Veguin-Tudela Veguin"
"04/2021","","2","5","72","16","","4","León","Valderas"
"04/2021","","2","7","70","14","","12","Palencia","Guardo"
"04/2021","","2","8","71","16","","6","Palencia","Hontoria 1 - Poblado"
"04/2021","","3","6","66","13","","4","Palencia","Hontoria 2 - Venta de Baños"
"04/2021","0,5","3","4","75","9","","2","Palencia","Palencia 3"
"04/2021","","3","11","70","11","","","Palencia","Renault4"
"04/2021","","2","2","85","22","","1","Salamanca","El Maillo"
"04/2021","","4","13","","12","","4","Salamanca","Salamanca5"
"04/2021","","1","6","70","14","6","","Salamanca","Salamanca6"
"04/2021","","2","9","71","9","","2","Segovia","Segovia 2"
"04/2021","","3","7","69","11","","3","Soria","Muriel de la Fuente"
"04/2021","","8","15","71","16","","2","Soria","Soria"
"04/2021","0,5","8","23","","16","12","","Valladolid","Arco de ladrillo II"
"04/2021","","6","19","","13","9","6","Valladolid","La rubia II"
"04/2021","","1","4","73","13","","8","Valladolid","Medina del Campo"
"04/2021","","2","14","53","","","","Valladolid","Michelin1"
"04/2021","","2","13","58","","","","Valladolid","Michelin2"
"04/2021","","3","16","58","18","10","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"04/2021","","2","13","68","","","","Valladolid","Renault1"
"04/2021","0,4","12","28","","27","","","Valladolid","Renault2"
"04/2021","","6","23","","8","","","Valladolid","Renault3"
"04/2021","","3","13","61","","","","Valladolid","VALLADOLID SUR"
"04/2021","","5","19","58","13","","","Valladolid","Vega Sicilia"
